sport,program,homepage,platform_detected,lead_tier,tier_rationale,tpv_min_k,tpv_max_k,region,contact_rank,contact_name,contact_title,contact_email,contact_linkedin,contact_source,outreach_channel,email_subject,outreach_body
Baseball,Canes Baseball,canesbaseball.net,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",75,600,Southeast,1,Jeff Petty,Founder / President & CEO,info@canesbaseball.net,,canesbaseball.net/canes-baseball-20-years-of-excellence/,email,A note for Canes Baseball on LeagueApps payment costs,"Hi Jeff,

Canes Baseball is one of the top Baseball programs in the country. We work with several LeagueApps clubs to reduce per-transaction payment costs and improve the family payment experience — without replacing LeagueApps for everything it does well.

Happy to share specific numbers in 15 minutes.

Best,
[Your Name]
[Company] | [Phone]"
Baseball,Canes Baseball,canesbaseball.net,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",75,600,Southeast,2,Dan Gitzen,General Manager,info@canesbaseball.net,,canesbaseball.net/staff/,email,A note for Canes Baseball on LeagueApps payment costs,"Hi Dan,

Canes Baseball is one of the top Baseball programs in the country. We work with several LeagueApps clubs to reduce per-transaction payment costs and improve the family payment experience — without replacing LeagueApps for everything it does well.

Happy to share specific numbers in 15 minutes.

Best,
[Your Name]
[Company] | [Phone]"
Baseball,East Cobb Baseball,eastcobbbaseball.com,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",75,600,Southeast,1,Guerry Baldwin,Executive Director,guerry@eastcobbbaseball.com,,eastcobbbaseball.com/about/staff/ (20+ year director),email,Payment fees for East Cobb Baseball on SportsEngine — worth a look,"Hi Guerry,

East Cobb Baseball's reputation in Baseball speaks for itself. I'm reaching out because clubs your size on SportsEngine typically absorb 2.9–3.5% on every transaction in processing fees — we've helped similar programs cut that meaningfully while keeping the registration experience families already know.

Would a 15-minute call be worth it to see the numbers?

Best,
[Your Name]
[Company] | [Phone]"
Baseball,East Cobb Baseball,eastcobbbaseball.com,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",75,600,Southeast,2,Kevin Baldwin,Vice President,kbaldwin@eastcobbbaseball.com,,ZoomInfo / eastcobbbaseball.com,email,Payment fees for East Cobb Baseball on SportsEngine — worth a look,"Hi Kevin,

East Cobb Baseball's reputation in Baseball speaks for itself. I'm reaching out because clubs your size on SportsEngine typically absorb 2.9–3.5% on every transaction in processing fees — we've helped similar programs cut that meaningfully while keeping the registration experience families already know.

Would a 15-minute call be worth it to see the numbers?

Best,
[Your Name]
[Company] | [Phone]"
Baseball,Texas Baseball Ranch,texasbaseballranch.com,Custom (Memberful),1,DIY/Custom/Unknown — highest switching potential,75,600,South,1,Ron Wolforth,Founder / CEO,,linkedin.com/in/ron-wolforth-01951684,texasbaseballranch.com / LinkedIn,linkedin,Quick question about Texas Baseball Ranch's registration setup,Hi Ron — I came across Texas Baseball Ranch while researching elite Baseball programs in South. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Baseball,Texas Baseball Ranch,texasbaseballranch.com,Custom (Memberful),1,DIY/Custom/Unknown — highest switching potential,75,600,South,2,Research Required,Operations Director,info@texasbaseballranch.com,,Visit texasbaseballranch.com/staff,linkedin,Quick question about Texas Baseball Ranch's registration setup,Hi there — I came across Texas Baseball Ranch while researching elite Baseball programs in South. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Baseball,Perfect Game (PGBA),perfectgame.org,Custom In-House,1,DIY/Custom/Unknown — highest switching potential,75,600,Midwest,1,Rob Ponger,CEO,,,Perfect Game press release / PitchBook,linkedin,Quick question about Perfect Game (PGBA)'s registration setup,Hi Rob — I came across Perfect Game (PGBA) while researching elite Baseball programs in Midwest. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Baseball,Perfect Game (PGBA),perfectgame.org,Custom In-House,1,DIY/Custom/Unknown — highest switching potential,75,600,Midwest,2,Jerry Ford,Founder,,,Fox Business / perfectgame.org,linkedin,Quick question about Perfect Game (PGBA)'s registration setup,Hi Jerry — I came across Perfect Game (PGBA) while researching elite Baseball programs in Midwest. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Baseball,Area Codes Baseball,areacodebaseball.com,Stack Sports,3,"Entrenched (Stack Sports) — low switching, but high volume",75,600,National,1,Ronny Torres,Vice President,info@areacodebaseball.com,,areacodebaseball.com / web search,email,Payment optimization question for Area Codes Baseball,"Hi Ronny,

I admire what Area Codes Baseball has built in the Baseball space. I'm reaching out because we've helped similar programs reduce payment processing overhead and improve collection rates — often without changing the registration workflow families already use.

Would 15 minutes make sense to explore?

Best,
[Your Name]
[Company] | [Phone]"
Baseball,Area Codes Baseball,areacodebaseball.com,Stack Sports,3,"Entrenched (Stack Sports) — low switching, but high volume",75,600,National,2,Research Required,Director / President,info@areacodebaseball.com,,areacodebaseball.com/contact,linkedin,Payment optimization question for Area Codes Baseball,Hi there — Area Codes Baseball is one of the top Baseball programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Baseball,ExtraInnings Baseball,extrainningsbaseball.com,,1,DIY/Custom/Unknown — highest switching potential,75,600,National,1,Research Required,Founder / Director,,,Site may be defunct — research extrainningsbaseball.com,linkedin,Quick question about ExtraInnings Baseball's registration setup,Hi there — I came across ExtraInnings Baseball while researching elite Baseball programs in National. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
