sport,program,homepage,registration_url,platform_detected,notes
Baseball,Baseball Factory,baseballfactory.com,https://teamfactory.leagueapps.com/,LeagueApps,Confirmed at teamfactory.leagueapps.com; nation's largest player development/showcase org (500K+ annual registrations); all camps and combine events processed via LeagueApps.
Baseball,Future Stars Series,futurestarsseries.com,https://register.futurestarsseries.com/,Stack Sports,Official Stack Sports events partner per company press release; premier 17U–18U showcase circuit using Stack Sports/Sports Connect registration and payment.
Baseball,Canes Midwest,canesbaseball.net,https://canesmidwestbaseball.leagueapps.com/,LeagueApps,Midwest regional chapter of Canes Baseball network; confirmed at canesmidwestbaseball.leagueapps.com; same LeagueApps infrastructure as main canesbaseball.leagueapps.com portal.
Baseball,USSSA Baseball,usssa.com,https://usssa.com/sports/baseball,Custom In-House,Major national tournament governing body with proprietary USSSA platform handling all team and player registrations; credit card accepted online.
Baseball,Select Baseball,selectbaseballclub.com,https://selectbaseball.leagueapps.com/,LeagueApps,Major Midwest club travel program; confirmed at selectbaseball.leagueapps.com; covers tryouts and season registration.
Baseball,New England Ruffnecks,neruffnecks.com,https://neruffnecks.leagueapps.com/,LeagueApps,Premier NE travel program confirmed on LeagueApps; team pages and tryout registrations found at neruffnecks.leagueapps.com.
Baseball,Texas Bombers Baseball,texasbombers.com,https://texasbombers.square.site/,Square,Confirmed: texasbombers.square.site; South Texas travel program uses Square for camp registrations and team fees.
Baseball,D-BAT Academies,dbat.com,https://membership.dbat.net/,Custom (membership.dbat.net),Franchise chain of 70+ indoor training facilities; custom member portal at membership.dbat.net for nationwide membership/lesson payments; no third-party sports platform.
Baseball,Team One Baseball,teamonebaseball.com,https://www.teamonebaseball.com/tournaments/registration/,Custom In-House,Part of Baseball Factory family; proprietary in-house registration/roster system at teamonebaseball.com; payment via custom secure login.
Baseball,Ripken Baseball,ripkenbaseball.com,https://ripkenbaseball.leagueapps.com/,LeagueApps,"Featured LeagueApps case study client (leagueapps.com/case-studies/ripken-baseball/); tournaments and camps at Aberdeen, Pigeon Forge, and Myrtle Beach facilities all processed via LeagueApps."
